id1,id2,joinKey1,joinKey2,OG-Company-Warn,OG-Company-Nasdaq,jaccard
9988,MOH,"[molina,healthcare,mhi]","[molina,healthcare]","Molina Healthcare, Inc. (MHI)",Molina Healthcare Inc Common Stock,0.6666666666666666
10394,SPWR,[sunpower],[sunpower],SunPower Corporation,SunPower Corporation Common Stock,1.0
10841,LMT,"[lockheed,martin]","[lockheed,martin]",Lockheed Martin Corporation,Lockheed Martin Corporation Common Stock,1.0
14232,ABG,"[asbury,automotive]","[asbury,automotive]","Asbury Automotive Group, Inc.",Asbury Automotive Group Inc Common Stock,1.0
16036,KO,"[coca,cola]","[coca,cola]",Coca-Cola,Coca-Cola Company (The) Common Stock,1.0
20308,M,"[macy,s]","[macy,s]",Macy's,Macy's Inc Common Stock,1.0
21833,FR,"[first,potomac,realty,trust]","[first,industrial,realty,trust]",First Potomac Realty Trust,First Industrial Realty Trust Inc. Common Stock,0.6
24726,BK,"[federal,reserve,bank,of,new,york]","[bank,of,new,york,mellon]",Federal Reserve Bank of New York,The Bank of New York Mellon Corporation Common Stock,0.5714285714285714
25688,PFE,[pfizer],[pfizer],Pfizer,Pfizer Inc. Common Stock,1.0
32584,CHK,"[chesapeake,energy]","[chesapeake,energy]",Chesapeake Energy,Chesapeake Energy Corporation Common Stock,1.0
33698,CAR,"[avis,budget]","[avis,budget]",Avis Budget Group,Avis Budget Group Inc. Common Stock,1.0
33850,WFC,"[wells,fargo]","[wells,fargo]",Wells Fargo,Wells Fargo & Company Common Stock,1.0
36440,AMAT,"[applied,materials]","[applied,materials]",Applied Materials,Applied Materials Inc. Common Stock,1.0
36478,AMAT,"[applied,materials,austin4]","[applied,materials]","Applied Materials, Inc. - Austin4",Applied Materials Inc. Common Stock,0.6666666666666666
36965,HXL,[hexcel],[hexcel],Hexcel Corp.,Hexcel Corporation Common Stock,1.0
37782,SXC,"[suncoke,energy]","[suncoke,energy]","SunCoke Energy, Inc.",SunCoke Energy Inc. Common Stock,1.0
37907,NRG,"[nrg,energy]","[nrg,energy]",NRG Energy,NRG Energy Inc. Common Stock,1.0
38838,BA,[boeing],[boeing],Boeing,Boeing Company (The) Common Stock,1.0
40049,SP,"[sp,plus]","[sp,plus]",SP Plus Corporation,SP Plus Corporation Common Stock,1.0
43023,WFC,"[wells,fargo]","[wells,fargo]",Wells Fargo,Wells Fargo & Company Common Stock,1.0
43590,WFC,"[wells,fargo]","[wells,fargo]",Wells Fargo,Wells Fargo & Company Common Stock,1.0
5686,BOOT,"[boot,barn]","[boot,barn,holdings]","Boot Barn, Inc.",Boot Barn Holdings Inc. Common Stock,0.6666666666666666
9161,JBL,[jabil],[jabil],Jabil Inc.,Jabil Inc. Common Stock,1.0
9496,WFC,"[wells,fargo]","[wells,fargo]",Wells Fargo,Wells Fargo & Company Common Stock,1.0
10676,EBAY,[ebay],[ebay],"eBay, Inc.",eBay Inc. Common Stock,1.0
11855,QCOM,"[qualcomm,incorporated]","[qualcomm,incorporated]",Qualcomm Incorporated,QUALCOMM Incorporated Common Stock,1.0
11894,HPE,"[hewlett,packard]","[hewlett,packard,enterprise]",Hewlett-Packard Company,Hewlett Packard Enterprise Company Common Stock,0.6666666666666666
1219,ACM,[aecom],[aecom],Aecom,AECOM Common Stock,1.0
13564,MMS,[maximus],[maximus],"Maximus, Inc.",Maximus Inc. Common Stock,1.0
14971,K,[kellogg],[kellogg],Kellogg Company,Kellogg Company Common Stock,1.0
18165,MMS,[maximus],[maximus],Maximus,Maximus Inc. Common Stock,1.0
24429,MOH,"[molina,healthcare]","[molina,healthcare]",Molina Healthcare,Molina Healthcare Inc Common Stock,1.0
26301,BR,"[broadridge,financial,solutions]","[broadridge,financial,solutions]","Broadridge Financial Solutions, Inc.",Broadridge Financial Solutions Inc. Common Stock,1.0
2710,WFC,"[wells,fargo]","[wells,fargo]",Wells Fargo & Company,Wells Fargo & Company Common Stock,1.0
321,NSC,"[norfolk,southern]","[norfolk,southern]",NORFOLK SOUTHERN CORPORATION,Norfolk Southern Corporation Common Stock,1.0
33476,BAC,"[bank,of,america]","[bank,of,america]",Bank of America,Bank of America Corporation Common Stock,1.0
36313,BA,[boeing],[boeing],Boeing Company,Boeing Company (The) Common Stock,1.0
37715,GNW,"[genworth,financial]","[genworth,financial]",Genworth Financial,Genworth Financial Inc Common Stock,1.0
37776,SXC,"[suncoke,energy]","[suncoke,energy]","Suncoke Energy, Inc.",SunCoke Energy Inc. Common Stock,1.0
42668,ABM,"[abm,industries]","[abm,industries,incorporated]",ABM Industries,ABM Industries Incorporated Common Stock,0.6666666666666666
5671,VSAT,[viasat],[viasat],"Viasat, Inc.",ViaSat Inc. Common Stock,1.0
10783,BA,[boeing],[boeing],Boeing Company,Boeing Company (The) Common Stock,1.0
14631,RSG,"[republic,services]","[republic,services]",Republic Services,Republic Services Inc. Common Stock,1.0
15065,ARMK,[aramark],[aramark],Aramark,Aramark Common Stock,1.0
17238,LEA,[lear],[lear],Lear Corporation,Lear Corporation Common Stock,1.0
19066,LEE,"[lee,enterprises]","[lee,enterprises,incorporated]",Lee Enterprises,Lee Enterprises Incorporated Common Stock,0.6666666666666666
20202,BA,[boeing],[boeing],Boeing,Boeing Company (The) Common Stock,1.0
20290,BA,[boeing],[boeing],Boeing,Boeing Company (The) Common Stock,1.0
20371,OC,"[owens,corning]","[owens,corning,new]",Owens Corning,Owens Corning Inc Common Stock New,0.6666666666666666
27363,MSFT,[microsoft],[microsoft],Microsoft Corporation,Microsoft Corporation Common Stock,1.0
32004,CNXC,[concentrix],[concentrix],Concentrix Corporation,Concentrix Corporation Common Stock,1.0
32737,HAL,[halliburton],[halliburton],Halliburton,Halliburton Company Common Stock,1.0
33391,BAC,"[bank,of,america]","[bank,of,america]",Bank of America,Bank of America Corporation Common Stock,1.0
36397,BAC,"[bank,of,america,amon,carter]","[bank,of,america]",Bank of America-Amon Carter,Bank of America Corporation Common Stock,0.6
37494,ACM,[aecom],[aecom],AECOM,AECOM Common Stock,1.0
38898,MSFT,[microsoft],[microsoft],Microsoft,Microsoft Corporation Common Stock,1.0
40624,CVS,"[cvs,health]","[cvs,health]",CVS Health,CVS Health Corporation Common Stock,1.0
42086,NKTR,"[nektar,therapeutics]","[nektar,therapeutics]",Nektar Therapeutics,Nektar Therapeutics  Common Stock,1.0
11390,INTU,[intuit],[intuit],"Intuit, Inc.",Intuit Inc. Common Stock,1.0
11653,EA,"[electronic,arts]","[electronic,arts]",Electronic Arts Inc.,Electronic Arts Inc. Common Stock,1.0
12258,AAL,"[american,airlines]","[american,airlines]",American Airlines,American Airlines Group Inc. Common Stock,1.0
15075,AMT,"[american,tower]","[american,tower,reit]",American Tower Corporation,American Tower Corporation (REIT) Common Stock,0.6666666666666666
16679,AYI,"[acuity,brands,lighting]","[acuity,brands]",Acuity Brands Lighting,Acuity Brands Inc.,0.6666666666666666
16971,MHK,"[mohawk,industries]","[mohawk,industries]","Mohawk Industries, Inc.",Mohawk Industries Inc. Common Stock,1.0
19724,TPIC,"[tpi,composites]","[tpi,composites]",TPI Composites,TPI Composites Inc. Common Stock,1.0
19834,WGO,"[winnebago,industries]","[winnebago,industries]",Winnebago Industries,Winnebago Industries Inc. Common Stock,1.0
19941,HPE,"[hewlett,packard]","[hewlett,packard,enterprise]",Hewlett-Packard Company,Hewlett Packard Enterprise Company Common Stock,0.6666666666666666
20135,DGLY,"[digital,ally]","[digital,ally]","Digital Ally, Inc.",Digital Ally Inc. Common Stock,1.0
20936,LEG,"[leggett,platt]","[leggett,platt,incorporated]","Leggett & Platt, Inc",Leggett & Platt Incorporated Common Stock,0.6666666666666666
24711,SMP,"[standard,motor,products,smp]","[standard,motor,products]","Standard Motor Products, Inc. (SMP)",Standard Motor Products Inc. Common Stock,0.75
34813,FOSL,[fossil],[fossil],Fossil Group,Fossil Group Inc. Common Stock,1.0
36618,APD,"[air,products,and,chemicals]","[air,products,and,chemicals]","Air Products and Chemicals, Inc.",Air Products and Chemicals Inc. Common Stock,1.0
38819,BA,[boeing],[boeing],Boeing,Boeing Company (The) Common Stock,1.0
39056,BAC,"[bank,of,america]","[bank,of,america]",Bank of America,Bank of America Corporation Common Stock,1.0
39101,WY,[weyerhaeuser],[weyerhaeuser],Weyerhaeuser Company,Weyerhaeuser Company Common Stock,1.0
41660,M,"[macy,s,logistics]","[macy,s]",MACY’S LOGISTICS,Macy's Inc Common Stock,0.6666666666666666
